# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.12500000e-02
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-02
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
2020            	1.76226125e+00	8.81130642e-01	8.81130612e-01	-1.97621766e-01	4.17562475e+00	-4.37324652e+00	4.27443563e+00	1.48739318e-08	3.72634567e-09	-4.92636697e-09	1.26316218e-09	-6.18952915e-09
2020.25         	1.76169435e+00	8.80847190e-01	8.80847160e-01	-1.93071962e-01	4.17915043e+00	-4.37222239e+00	4.27568641e+00	1.48753771e-08	3.72460591e-09	-4.92643766e-09	1.26138708e-09	-6.18782474e-09
2020.5          	1.76109853e+00	8.80549281e-01	8.80549251e-01	-1.88375416e-01	4.18275683e+00	-4.37113224e+00	4.27694454e+00	1.48769848e-08	3.72290952e-09	-4.92656587e-09	1.25962658e-09	-6.18619245e-09
2020.75         	1.76047759e+00	8.80238811e-01	8.80238781e-01	-1.83506211e-01	4.18648307e+00	-4.36998929e+00	4.27823618e+00	1.48787570e-08	3.72125763e-09	-4.92675261e-09	1.25788133e-09	-6.18463394e-09
2021            	1.75986113e+00	8.79930578e-01	8.79930549e-01	-1.78445767e-01	4.19042172e+00	-4.36886749e+00	4.27964461e+00	1.48806944e-08	3.71965156e-09	-4.92699860e-09	1.25615227e-09	-6.18315086e-09
2021.25         	1.75924193e+00	8.79620979e-01	8.79620949e-01	-1.73220902e-01	4.19452668e+00	-4.36774758e+00	4.28113713e+00	1.48827959e-08	3.71809263e-09	-4.92730381e-09	1.25444072e-09	-6.18174453e-09
2021.5          	1.75856606e+00	8.79283045e-01	8.79283016e-01	-1.67811928e-01	4.19867959e+00	-4.36649152e+00	4.28258556e+00	1.48850597e-08	3.71658209e-09	-4.92766802e-09	1.25274808e-09	-6.18041610e-09
2021.75         	1.75790791e+00	8.78953969e-01	8.78953939e-01	-1.62254148e-01	4.20303118e+00	-4.36528532e+00	4.28415825e+00	1.48874785e-08	3.71512086e-09	-4.92808892e-09	1.25107640e-09	-6.17916532e-09
2022            	1.75723267e+00	8.78616352e-01	8.78616322e-01	-1.56566628e-01	4.20747624e+00	-4.36404286e+00	4.28575955e+00	1.48900504e-08	3.71370975e-09	-4.92856625e-09	1.24942663e-09	-6.17799288e-09
2022.25         	1.75656504e+00	8.78282533e-01	8.78282503e-01	-1.50728383e-01	4.21209733e+00	-4.36282572e+00	4.28746152e+00	1.48927770e-08	3.71234946e-09	-4.92910093e-09	1.24779899e-09	-6.17689993e-09
2022.5          	1.75591359e+00	8.77956809e-01	8.77956779e-01	-1.44752547e-01	4.21690074e+00	-4.36165329e+00	4.28927702e+00	1.48956558e-08	3.71104084e-09	-4.92969242e-09	1.24619462e-09	-6.17588705e-09
2022.75         	1.75523175e+00	8.77615889e-01	8.77615859e-01	-1.38636660e-01	4.22177542e+00	-4.36041208e+00	4.29109375e+00	1.48986836e-08	3.70978475e-09	-4.93033991e-09	1.24461480e-09	-6.17495470e-09
2023            	1.75455415e+00	8.77277091e-01	8.77277061e-01	-1.32376847e-01	4.22680282e+00	-4.35917967e+00	4.29299125e+00	1.49018527e-08	3.70858223e-09	-4.93104113e-09	1.24306167e-09	-6.17410280e-09
2023.25         	1.75386321e+00	8.76931619e-01	8.76931589e-01	-1.25980610e-01	4.23194160e+00	-4.35792221e+00	4.29493190e+00	1.49051614e-08	3.70743410e-09	-4.93179573e-09	1.24153623e-09	-6.17333197e-09
2023.5          	1.75315383e+00	8.76576931e-01	8.76576901e-01	-1.19445161e-01	4.23717614e+00	-4.35662130e+00	4.29689872e+00	1.49086045e-08	3.70634136e-09	-4.93260218e-09	1.24004027e-09	-6.17264245e-09
2023.75         	1.75244152e+00	8.76220774e-01	8.76220744e-01	-1.12790482e-01	4.24253272e+00	-4.35532320e+00	4.29892796e+00	1.49121809e-08	3.70530490e-09	-4.93346032e-09	1.23857474e-09	-6.17203506e-09
2024            	1.75173944e+00	8.75869734e-01	8.75869705e-01	-1.06031595e-01	4.24802407e+00	-4.35405566e+00	4.30103986e+00	1.49158870e-08	3.70432537e-09	-4.93436913e-09	1.23714080e-09	-6.17150993e-09
2024.25         	1.75104010e+00	8.75520063e-01	8.75520034e-01	-9.91554976e-02	4.25364359e+00	-4.35279908e+00	4.30322134e+00	1.49197249e-08	3.70340339e-09	-4.93532968e-09	1.23573855e-09	-6.17106824e-09
2024.5          	1.75034887e+00	8.75174448e-01	8.75174418e-01	-9.22045287e-02	4.25936757e+00	-4.35157210e+00	4.30546984e+00	1.49236882e-08	3.70253947e-09	-4.93633993e-09	1.23436950e-09	-6.17070943e-09
2024.75         	1.74967809e+00	8.74839062e-01	8.74839032e-01	-8.51283185e-02	4.26526509e+00	-4.35039341e+00	4.30782925e+00	1.49277770e-08	3.70173424e-09	-4.93740028e-09	1.23303410e-09	-6.17043438e-09
2025            	1.74898715e+00	8.74493592e-01	8.74493562e-01	-7.79668271e-02	4.27119659e+00	-4.34916342e+00	4.31018001e+00	1.49319880e-08	3.70098767e-09	-4.93850986e-09	1.23173274e-09	-6.17024260e-09
2025.25         	1.74828986e+00	8.74144944e-01	8.74144914e-01	-7.06807018e-02	4.27723256e+00	-4.34791326e+00	4.31257291e+00	1.49363091e-08	3.70029929e-09	-4.93966452e-09	1.23046703e-09	-6.17013155e-09
